shortName,name,averageDelay,passagesCount,latitude,longitude
73,Politechnika,3.920445609436435,7630,50.07118055555556,19.944861666666668
974,Murownia (nż),1.2857142857142858,7,50.17854916666667,19.81372361111111
2702,Wola Zachariaszowska Kresy,2.1666666666666665,6,50.1588,19.942
356,Zastów,1.4444444444444444,9,50.121313055555554,20.05051611111111
459,Kombinat,1.5188519977490151,3554,50.07918611111111,20.06553
512,Branice Pagórek (nż),1.75,4,50.06863305555556,20.140000555555556
710,Os.Kurdwanów,1.70521327014218,1055,50.00469555555556,19.95898111111111
2633,Belwederczyków (nż),2.55,20,50.106031944444446,19.964731944444445
2699,Cmentarz Batowice Wschód (nż),1.0,3,50.10244888888889,19.98675
3325,Świątniki Górne Krakowska (nż),1.35,20,49.93884527777778,19.942568333333334
478,Prusy Szkoła (nż),1.6923076923076923,13,50.11383083333333,20.085076944444445
541,Bartnicza (nż),5.3,20,50.056646944444445,20.1869225
970,Szyce II (nż),1.0,6,50.143011666666666,19.862433055555556
113,AWF,1.6666666666666667,15,50.073922777777774,19.997903333333333
1215,Czułówek (nż),2.25,4,50.0395,19.6832
1365,Czułówek Kapliczka,2.0,2,50.0424,19.6801
2759,Szpital Okulistyczny,2.6785714285714284,28,50.09935055555555,20.064070277777777
30,Witkowice Nowe,1.6,75,50.1051875,19.944291944444444
3288,Polanowice Boisko (nż),1.6,5,50.19804305555556,20.091375833333334
406,Medweckiego,2.0,85,50.07617111111111,20.00732861111111
432,Bulwarowa (nż),4.227360308285164,1557,50.07530555555556,20.0528825
584,Kobierzyńska,3.873618452666987,2081,50.0341275,19.925678055555554
2578,Weigla,3.4166666666666665,24,50.01298638888889,20.04307361111111
2738,Wadów Os.Kolejowe,3.909090909090909,22,50.097008055555555,20.128799166666667
2778,Rzeszotary Pod Dębiną (nż),2.586206896551724,29,49.93843361111111,19.9678725
3072,Chełmońskiego Pętla,3.0483383685800605,1324,50.09356,19.89739
3131,Warszewicza (nż),4.678571428571429,28,49.99780638888889,19.945964166666666
34,Bociana,5.420373027259684,2091,50.09401694444445,19.952260555555554
443,Grębałów (nż),1.4772727272727273,44,50.10123194444444,20.0693425
786,Radziszów Włosanka (nż),3.4099616858237547,261,49.93044,19.820686388888888
880,Malborska Szkoła,4.536127167630058,1384,50.022148333333334,19.964981388888887
910,Dąbrowa Szlachecka Krzyż (nż),2.3846153846153846,13,49.9986,19.7514
133,Wesele,12.92907290729073,5555,50.0789,19.89833
2562,Tyniecka Autostrada (nż),3.1140495867768596,605,50.02185333333333,19.827396666666665
2739,Ks.Targosza (nż),1.0,2,50.042768611111114,20.052813611111112
2791,Stawowa,4.484033613445378,1785,50.0939,19.89278
